path,latitude,lat ref,longitude,long ref,timestamp
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170703_17_16_49_Pro.jpg,60.45190530829167,N,22.267294814810278,E,2017:07:03 17:16:51
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170703_17_18_05_Pro.jpg,60.45190673321389,N,22.26741895079611,E,2017:07:03 17:18:05
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170704_12_36_27_Pro.jpg,60.06470345891666,N,20.42010029777778,E,2017:07:04 12:36:29
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170704_12_37_35_Pro.jpg,60.063016014166664,N,20.412293728444443,E,2017:07:04 12:37:35
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170704_12_40_11_Pro.jpg,60.06363007238889,N,20.39095239713889,E,2017:07:04 12:40:11
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170704_12_40_36_Pro.jpg,60.063796620805554,N,20.387894595041665,E,2017:07:04 12:40:36
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170704_12_40_40_Pro.jpg,60.063796620805554,N,20.387894595041665,E,2017:07:04 12:40:40
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170704_12_41_05_Pro.jpg,60.06382436491666,N,20.384280737489444,E,2017:07:04 12:41:05
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170704_12_41_13_Pro.jpg,60.06378429941666,N,20.383256468916667,E,2017:07:04 12:41:13
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170704_12_41_16_Pro.jpg,60.06378429941666,N,20.383256468916667,E,2017:07:04 12:41:16
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170704_12_41_24_Pro.jpg,60.06381288169444,N,20.38194461725,E,2017:07:04 12:41:25
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170705_16_35_18_Pro.jpg,60.18063976430555,N,19.982705265277776,E,2017:07:05 16:35:18
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170705_16_35_33_Pro.jpg,60.1806151215,N,19.982728064055554,E,2017:07:05 16:35:34
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170705_18_57_57_Pro.jpg,60.23690186440833,N,20.013246489694446,E,2017:07:05 18:57:58
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170705_18_58_53_Pro.jpg,60.23696162737778,N,20.01351219602778,E,2017:07:05 18:58:53
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170705_18_59_16_Pro.jpg,60.23696162737778,N,20.01351219602778,E,2017:07:05 18:59:17
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170705_18_59_48_Pro.jpg,60.23697839118611,N,20.01365359872222,E,2017:07:05 18:59:48
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170706_15_22_23_Pro.jpg,59.620755,N,18.830856999999998,E,2017:07:06 15:22:23
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170707_22_17_26_Pro.jpg,61.0120695,N,14.5474668,E,2017:07:07 22:17:26
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170708_16_29_57_Pro.jpg,61.00714746862778,N,14.53784083016111,E,2017:07:08 16:29:57
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170708_16_34_41_Pro.jpg,61.007057363166666,N,14.538159426302778,E,2017:07:08 16:34:41
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170708_16_35_54_Pro.jpg,61.007085358725,N,14.538547173141666,E,2017:07:08 16:35:55
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170709_14_48_49_Pro.jpg,60.995740704250004,N,14.572378629819445,E,2017:07:09 14:48:49
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170709_17_03_15_Pro.jpg,61.007585674525,N,14.534173747524722,E,2017:07:09 17:03:16
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170709_17_03_24_Pro.jpg,61.007585674525,N,14.534173747524722,E,2017:07:09 17:03:24
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170709_17_03_28_Pro.jpg,61.007585674525,N,14.534173747524722,E,2017:07:09 17:03:28
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170709_17_03_31_Pro.jpg,61.007585674525,N,14.534173747524722,E,2017:07:09 17:03:31
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170709_17_03_32_Pro.jpg,61.007585674525,N,14.534173747524722,E,2017:07:09 17:03:33
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170709_17_03_36_Pro.jpg,61.007585674525,N,14.534173747524722,E,2017:07:09 17:03:36
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170709_17_03_43_Pro.jpg,61.007585674525,N,14.534173747524722,E,2017:07:09 17:03:44
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170711_17_53_19_Pro.jpg,63.43877311795833,N,10.170944128186111,E,2017:07:11 17:53:20
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170711_17_54_37_Pro.jpg,63.43895173631666,N,10.171559443697221,E,2017:07:11 17:54:37
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170712_14_34_41_Pro.jpg,63.506706850602775,N,10.126623557880556,E,2017:07:12 14:34:41
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170712_14_35_12_Pro.jpg,63.50702209398055,N,10.126901753247223,E,2017:07:12 14:35:12
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170712_14_38_29_Pro.jpg,63.50653368048334,N,10.12777506373889,E,2017:07:12 14:38:29
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170712_14_49_45_Pro.jpg,63.506401078775,N,10.127084059641668,E,2017:07:12 14:49:46
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170712_15_03_52_Pro.jpg,63.503981223330555,N,10.120157171041667,E,2017:07:12 15:03:52
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170713_12_05_13_Pro.jpg,63.430070355527775,N,10.40257508866389,E,2017:07:13 12:05:13
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170713_12_05_29_Pro.jpg,63.430070355527775,N,10.40257508866389,E,2017:07:13 12:05:30
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170713_12_20_03_Pro.jpg,63.43035827391667,N,10.402281889691666,E,2017:07:13 12:20:03
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170713_15_01_36_Pro.jpg,62.59391335,N,9.692764200000001,E,2017:07:13 15:01:36
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170713_15_01_43_Pro.jpg,62.59391335,N,9.692764200000001,E,2017:07:13 15:01:44
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170713_15_01_56_Pro.jpg,62.592932000000005,N,9.68866,E,2017:07:13 15:01:56
G:\Ba\Fotos 2000_2021\2017\20170630 -0718 FinZweNor Vak Fotos\WP_20170713_15_04_39_Pro.jpg,62.543203,N,9.627731,E,2017:07:13 15:04:40
